source_name,url,record_type,primary_topic,secondary_topic,targeting_type,follower_tier,content_style,mainstream_flag,pod,youtube,facebook,x,instagram,tiktok,substack,online,rumble,telegram,cable,radio,TSP,CEC,TC,WE,PP,HF,PFF,HHN,MFL,VS,UCP,FJP,HCP,HAD,HCI,GHI,reach_score,uniqueness_score,recognition_score,scale_fit_score,strategic_priority,field_eligible,field_eligible_relaxed,track
AFSCME Healthcare Coverage,afscme.org/health,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
Union Plus Benefits Podcast,unionplus.org,source,Worker and economic issues,Health policy,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,0,3,8,0,0,BOTH
Capital and Main,capitalandmain.com,source,Worker and economic issues,Political news and commentary,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,1,3,9,0,1,BOTH
Ohio Valley ReSource,ohiovalleyresource.org,source,Worker and economic issues,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
100 Days in Appalachia,100daysinappalachia.com,source,Political news and commentary,Worker and economic issues,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
The Dig Podcast,thedigradio.com,source,Political news and commentary,Worker and economic issues,Sponsorship,,activist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,7,0,0,BOTH
Heartland Signal,heartlandsignal.com,source,Political news and commentary,,Addressable,,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
The Progressive Magazine,progressive.org,source,Political news and commentary,Worker and economic issues,Addressable,,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,0,3,8,0,0,BOTH
Patients for Affordable Drugs,p4ad.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,1,3,9,0,1,BOTH
AARP Drug Pricing Coverage,aarp.org/health/drugs,source,Health policy,Medicare and senior health,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,BOTH
Prescription Justice,prescriptionjustice.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
Accountable.US Health,accountable.us/health,source,Health policy,Worker and economic issues,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,0,3,8,0,0,BOTH
Public Citizen Health Research,citizen.org/health,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,1,3,9,0,1,BOTH
Becker's Rural Health,beckershospitalreview.com/rural,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,3,8,0,0,BOTH
Rural Hospital Closures Tracker,ruralhospitals.chqpr.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
National Black Church Initiative,naltblackchurch.com,source,Faith and values,Health policy,Addressable,micro,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
The Word Network Health Content,thewordnetwork.org,source,Faith and values,,Broad,,community,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,DEM
Black Doctor  (BlackDoctor.org),blackdoctor.org,source,Health policy,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,11,1,1,DEM
Essence Health,essence.com/health,source,Health policy,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,11,1,1,DEM
The Root Health Coverage,theroot.com/health,source,Health policy,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,11,1,1,DEM
Black Women's Health Imperative,bwhi.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
Shondaland Health,shondaland.com/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Mogul Millennial Health,mogulmillennial.com/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Salud America,saludamerica.org,source,Health policy,Environmental and climate health,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
National Hispanic Medical Association,nhmamd.org/news,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Latino Health Access,latinohealthaccess.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Catholic Health Association,chausa.org/news,source,Faith and values,Health policy,Addressable,micro,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
Catholic Charities Health,catholiccharitiesusa.org/health,source,Faith and values,Health policy,Addressable,,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Ignatian Solidarity Network,ignatiansolidarity.net,source,Faith and values,Political news and commentary,Addressable,,community,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Interfaith Public Health Network,interfaithhealth.net,source,Faith and values,Health policy,Addressable,,community,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Health and Human Rights Journal,hhrjournal.org,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,3,9,0,0,DEM
Community Health Worker Network,nachw.org/news,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,9,0,0,DEM
Trust for America's Health,tfah.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,3,9,0,1,DEM
Robert Wood Johnson Foundation,rwjf.org/en/insights,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,3,9,0,1,DEM
CommonHealth  (WBUR),wbur.org/commonhealth,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1,3,9,0,1,DEM
The Dose Podcast  (Commonwealth Fund),commonwealthfund.org/podcast,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,3,8,0,1,DEM
Health Equity News,healthequitynews.com,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,9,0,0,DEM
UnidosUS Health,unidosus.org/health,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
NAACP Health Program,naacp.org/know-issues/health,source,Health policy,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,11,1,1,DEM
National Urban League Health,nul.org/health,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,3,10,0,1,DEM
Medicare Advantage Oversight,medicarerights.org/ma,source,Health policy,Medicare and senior health,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,3,9,0,0,DEM
Physicians for a National Health Program,pnhp.org/news,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,3,9,0,0,DEM
Health Care for America Now,hcan.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,3,9,0,0,DEM
Coalition Against Insurance Abuse,caia.com,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,DEM
National COSH ,coshnetwork.org,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
Occupational Health & Safety News,ohsonline.com,source,Worker and economic issues,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
Jobs with Justice Health,jwj.org/health,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
National Partnership Women Families,nationalpartnership.org,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,9,0,0,DEM
Working Families Party Health,workingfamilies.org/health,source,Worker and economic issues,Political news and commentary,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
Catholic Health Association Community,chausa.org/community-benefit,source,Health policy,,Addressable,,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,9,0,0,DEM
National Association of Community Health Centers,nachc.org/news,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,3,9,0,0,DEM
Community Health Center Voices,nachc.org/podcast,source,Health policy,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,3,8,0,0,DEM
The American Prospect Health,prospect.org/health,source,Health policy,Worker and economic issues,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,3,9,0,0,DEM
Portside Health Labor,portside.org/health,source,Worker and economic issues,Health policy,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,0,3,8,0,0,BOTH
Truthout Health,truthout.org/health,source,Health policy,Political news and commentary,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,3,9,0,0,DEM
Sixty and Me Podcast,sixtyandme.com/podcast,source,Medicare and senior health,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,3,8,0,0,DEM
Aging Today  (ASA),asaging.org/aging-today,source,Medicare and senior health,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,2,9,0,1,DEM
Generations Journal  (ASA),asaging.org/generations,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,2,8,0,0,DEM
Elder Law Answers,elderlawanswers.com,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
SeniorLiving.org,seniorliving.org,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
The Senior Times,theseniortimes.com,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
AMAC  (Association Mature Americans),amac.us/newsline,source,Medicare and senior health,Political news and commentary,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,3,10,0,1,DEM
Kiplinger Retirement Health,kiplinger.com/retirement/health,source,Medicare and senior health,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,3,11,1,1,DEM
MarketWatch Retirement Health,marketwatch.com/retirement,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
Forbes Retirement Health,forbes.com/retirement,source,Medicare and senior health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
US News Best Medicare Plans,health.usnews.com/medicare,source,Medicare and senior health,Health policy,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,3,11,1,1,DEM
Medicare Plan Finder  (CMS),medicare.gov,source,Medicare and senior health,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,10,1,1,DEM
Medicare Interactive Podcast,medicareinteractive.org/podcast,source,Medicare and senior health,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,2,7,0,0,DEM
Your Medicare Advisor,yourmedicareadvisor.com,source,Medicare and senior health,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,3,8,0,0,DEM
Medicare on Video,medicareonvideo.com,source,Medicare and senior health,,Addressable,,educational,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,DEM
Boomer Benefits Podcast,boomerbenefits.com/podcast,source,Medicare and senior health,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,3,9,0,1,DEM
Covering Health  (AHCJ Podcast),healthjournalism.org/podcast,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,8,0,1,DEM
Health Policy Hub  (Brookings),brookings.edu/health-policy,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,3,8,0,0,DEM
Alliance for Health Policy,allhealthpolicy.org,source,Health policy,,Sponsorship,,educational,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,3,7,0,0,DEM
Prescription Drug Policy  (IHPI),ihpi.umich.edu,source,Health policy,Medicare and senior health,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,9,0,0,DEM
Health in Aging Foundation,healthinaging.org,source,Medicare and senior health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,9,0,0,DEM
American Geriatrics Society,americangeriatrics.org/news,source,Medicare and senior health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,9,0,0,DEM
Gerontological Society of America,geron.org/news,source,Medicare and senior health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,9,0,0,DEM
John A. Hartford Foundation,johnahartford.org/insights,source,Medicare and senior health,Health policy,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,9,0,0,DEM
LeadingAge Podcast,leadingage.org/podcast,source,Medicare and senior health,Health policy,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,8,0,0,DEM
Make America Healthy Again ,mahamovement.com,source,Natural and alternative health,Political news and commentary,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,3,8,0,0,GOP
Moms for America,momsforamerica.us,source,Political news and commentary,Faith and values,Addressable,,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Moms for Liberty,momsforliberty.org,source,Political news and commentary,Faith and values,Addressable,,community,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
The Wellness Mama Podcast,wellnessmama.com/podcast,source,Natural and alternative health,Nutrition and diet,Sponsorship,,lifestyle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
MAHA Moms Facebook Community,facebook.com/groups/maha,source,Natural and alternative health,Political news and commentary,Organic,,educational,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Organic Consumers Association,organicconsumers.org,source,Natural and alternative health,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,3,11,1,1,GOP
Food Democracy Now,fooddemocracynow.org,source,Nutrition and diet,Political news and commentary,Addressable,micro,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Sustainable Pulse,sustainablepulse.com,source,Nutrition and diet,Environmental and climate health,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Babes and Babies ,instagram.com/mahamoms,source,Natural and alternative health,,Addressable,,educational,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Fed Up with School Lunch,fedupmovie.com,source,Nutrition and diet,Political news and commentary,Organic,,lifestyle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Homeschool Health Summit,homeschoolhealthsummit.com,source,Natural and alternative health,Faith and values,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
The Home School Mom ,thehomeschoolmom.com/health,source,Natural and alternative health,Faith and values,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Konos ,konos.com,source,Faith and values,Natural and alternative health,Organic,,community,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Wellness Wednesday Homeschool FB,facebook.com/groups/homeschoolwellness,source,Natural and alternative health,,Organic,,educational,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Generation Rescue  (Jenny McCarthy),generationrescue.org,source,Vaccines and immunization,Natural and alternative health,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,3,8,0,0,GOP
Food Babe  (Vani Hari),foodbabe.com,both,Nutrition and diet,Natural and alternative health,Addressable,macro,lifestyle,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,12,1,1,GOP
The Organic Authority,organicauthority.com,source,Nutrition and diet,Environmental and climate health,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Nourished Kitchen,nourishedkitchen.com,source,Nutrition and diet,Natural and alternative health,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Weston A. Price Foundation FB,facebook.com/WAPFoundation,source,Nutrition and diet,Natural and alternative health,Organic,,lifestyle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,3,6,0,0,GOP
Non-GMO Project,nongmoproject.org/blog,source,Nutrition and diet,Environmental and climate health,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Kitchen Stewardship,kitchenstewardship.com,source,Nutrition and diet,Faith and values,Addressable,,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
100 Days of Real Food,100daysofrealfood.com,source,Nutrition and diet,,Addressable,micro,lifestyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
The Wellness Way  (Patrick Flynn),thewellnessway.com,source,Natural and alternative health,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
Health Ranger Report  (Mike Adams),brighteon.com/healthranger,both,Natural and alternative health,Vaccines and immunization,Organic,macro,educational,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,3,10,1,1,GOP
Brighteon ,brighteon.com,source,Natural and alternative health,Vaccines and immunization,Organic,,educational,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Real Food For Real Kids ,facebook.com/groups/realfoodforrealkids,source,Nutrition and diet,,Organic,,lifestyle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Natural Living Family ,facebook.com/groups/naturallivingfamily,source,Natural and alternative health,,Organic,,educational,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Trim Healthy Mama,trimhealthymama.com,source,Nutrition and diet,Faith and values,Organic,,lifestyle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Homesteading Family,homesteadingfamily.com,source,Nutrition and diet,Natural and alternative health,Addressable,,lifestyle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
The Healthy Home Economist,thehealthyhomeeconomist.com,source,Natural and alternative health,Nutrition and diet,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Ashley Evelyn ,instagram.com/ashleyevelyn,source,Natural and alternative health,Political news and commentary,Addressable,,educational,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Live Blessed or Stressed ,instagram.com/liveblessedorstressed,source,Natural and alternative health,Faith and values,Addressable,,educational,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
The Mamas Network ,instagram.com/themamasnetwork,source,Natural and alternative health,,Addressable,,educational,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
